Item Name,Photo,Category,Location,Quantity,Condition,Value,Date Acquired,Notes,Item Status,Inventory Location,Package Width,Package Height,Package Length,Package Weight
Black Velvet Hangers,,Home & Garden,eBay Inventory,1,Used,15.99,"May 30,2025 4:00 PM (EDT)",,In Storage,eBay Inventory,4.00,9.00,17.00
Black Velvet Hangers Elegant 12,,Home & Garden,eBay Inventory,1,Used,15.99,"May 30,2025 4:05 PM (EDT)",,In Storage,eBay Inventory,4.00,9.00,17.00
Coffee Table - Oak,,Furniture,Living Room,1,Good,250.00,"July 8,2023","Solid oak coffee table with drawer,48"" x 24""",In Use,,,
MacBook Pro 16-inch,,Electronics,Office,1,Good,1800.00,"May 12,2022","2022 model with M1 Pro chip,16GB RAM,1TB SSD. Minor scratch on bottom case.",In Use,,
New submission,image%205.jpg,,Office,,,0.00,,,In Use,,,,,
New submission,image%206.jpg,,Bedroom,,,150.00,,,In Use,,,,,
Phone Package for Business,,Other,,1,Fair,150.00,"May 28,2025 → May 28,2025",there is nothing else to put,In Use,Home Inventory,,
Phone Package for Business,,,,1,Fair,150.00,"May 28,2025 → May 28,2025",there is nothing else to put,In Use,,,
Pokémon Cards Holder Vintage,,Other,,1,Fair,25.00,"May 30,2025 → May 30,2025","These are vintage Pokémon card holders that are used. There is somewhere in tear and some peeling on the spines of them. There is some we’ve cleaned them as best we could,but there’s still some marks on some of the card holder places overall more of a collectible item for someone that was really interested in this almost to put their Pokémon cards in here",In Use,eBay Inventory,
Winter Coat - North Face,,Clothing,Bedroom,1,Like New,150.00,"December 15,2024","Black puffer jacket,size L,barely worn",In Storage,,
New submission,image%204.jpg,,Office,,,0.00,,,In Use,,,,,
New submission,image%205.jpg,,Bedroom,,,150.00,,,In Use,,,,,
MacBook Pro 16-inch,,Electronics,In Use,,Good,,"May 12,Office,,2022",,"2022 model with M1 Pro chip,16GB RAM,1TB SSD. Minor scratch on bottom case."
Winter Coat - North Face,,Clothing,In Storage,,Like New,,"December 15,Bedroom,,2024",,"Black puffer jacket,size L,barely worn"
Coffee Table - Oak,,Furniture,In Use,,Good,,"July 8,Living Room,,2023",,"Solid oak coffee table with drawer,48"" x 24""",
New submission,image%205.jpg,,Bedroom,,,150.00,,,In Use,,,,,
New submission,image%204.jpg,,Office,,,0.00,,,In Use,,,,,
Phone Package for Business,,,,,Fair,,"May 28,In Use,2025",2025 → May 28,,,there is nothing else to put,
Phone Package for Business,,Other,Home Inventory,,Fair,,"May 28,In Use,2025",2025 → May 28,,,there is nothing else to put,
Pokémon Cards Holder Vintage,,Other,eBay Inventory,,Fair,,"May 30,In Use,2025",2025 → May 30,,,"These are vintage Pokémon card holders that are used. There is somewhere in tear and some peeling on the spines of them. There is some we’ve cleaned them as best we could,but there’s still some marks on some of the card holder places overall more of a collectible item for someone that was really interested in this almost to put their Pokémon cards in here"
Black Velvet Hangers,4.00,Home & Garden,In Storage,,Used,1,"May 30,eBay Inventory,eBay Inventory,2025 4:00 PM (EDT)",2.11,,9.00,17.00
Black Velvet Hangers Elegant 12,4.00,Home & Garden,In Storage,,Used,1,"May 30,eBay Inventory,eBay Inventory,2025 4:05 PM (EDT)",2.11,,9.00,17.00
New submission,image%206.jpg,,Bedroom,,,150.00,,,In Use,,,,,
New submission,image%205.jpg,,Office,,,0.00,,,In Use,,,,,
