systemName,systemOrbits,systemDescription,systemStatus,systemTags,systemQnodes
Morning Routine,7. Learning & Ideas (https://www.notion.so/7-Learning-Ideas-216f84a0440280378392f4a5189b198f?pvs=21),Start-of-day system to anchor mental and physical wellness.,Live,"mental, start-of-day, wellness",
Client Onboarding,2. Work & Career (https://www.notion.so/2-Work-Career-216f84a0440280f88423f3ad99e8e582?pvs=21),"Step-by-step flow for bringing in new clients with forms, folders, and meetings.",Live,"clioents, flow, folders, forms, meeting",
Therapy Integration,"1. Self & Health (https://www.notion.so/1-Self-Health-216f84a044028017ac73e5eef3372ab1?pvs=21), 4. Relationships and Community (https://www.notion.so/4-Relationships-and-Community-216f84a0440281d3afdef6247bb46577?pvs=21)","System for reflecting on sessions, tracking progress, and logging triggers.",Live,"logging, progress, reflecting",
Content Pipeline,8. Projects & Goals (https://www.notion.so/8-Projects-Goals-216f84a044028091b3f6d273bdb34e9f?pvs=21),"System for managing ideas, drafts, approvals, and publishing.",Live,"approvals, drafts, ideas, publish",
Spiritual Sync,5. Spiritual & Metaphysical (https://www.notion.so/5-Spiritual-Metaphysical-216f84a0440280b19e0bf91713bf6ac8?pvs=21),"System for daily spiritual check-in with tarot, meditation, and symbols.",Live,"check-in, meditation, spiritual, symbols, tarot",
Money Moves,6. Finances & Security (https://www.notion.so/6-Finances-Security-216f84a044028093a440e37e10d83596?pvs=21),"Bill tracking, recurring income, expense audit, savings structure.",Live,"billTracking, expenseAudit, income, savingsStructure",
House Reset,3. Home & Environment (https://www.notion.so/3-Home-Environment-216f84a0440280229991e09218a2b906?pvs=21),"Weekly checklist for cleaning, organizing, and resetting energy.",Live,"checklist, cleaning, organizing, resettingEnergy",
QiNote,,,Draft,,"Note @July 20, 2025  (https://www.notion.so/Note-236f84a0440280e5b269e6ee08b33f98?pvs=21)"
Unknown,,,Draft,,"Untitled (https://www.notion.so/236f84a044028099b21bd6d2f4b5b6f3?pvs=21), Note @June 18, 2025 Bell Flower Clinic (https://www.notion.so/Note-Bell-Flower-Clinic-216f84a04402808f8587db91bae93442?pvs=21)"
Journals,,,Draft,,"@June 23, 2025 - Daily Journal Log (https://www.notion.so/Daily-Journal-Log-21bf84a0440281afafe4c5911a208052?pvs=21), @June 22, 2025 - Daily Journal Log (https://www.notion.so/Daily-Journal-Log-21af84a04402818c9bf5f022b227a1ef?pvs=21), @June 21, 2025 8:40 PM  (https://www.notion.so/21af84a0440280b5974dd9f38be03a40?pvs=21), @June 21, 2025 - Daily Journal Log (https://www.notion.so/Daily-Journal-Log-219f84a0440281a8a4a8d62c4516f93b?pvs=21), @June 20, 2025 - Daily Journal Log (https://www.notion.so/Daily-Journal-Log-218f84a04402812dacb4e98a9efbca27?pvs=21), @June 19, 2025 - Daily Journal Log (https://www.notion.so/Daily-Journal-Log-217f84a0440281f09f85c521518cbd6d?pvs=21)"
Good Friends,,,Draft,,"@July 20, 2025 8:38 PM  (https://www.notion.so/237f84a0440280349845e01dbeb2e1b3?pvs=21)"
