Image,Card,Main Keywords,One Liner,Card Name,Card Type,Latest Appearance,Major or Minor,Reading Journal,Times Appeared,id
0_The_Fool.jpg,0 The Fool,"New Beginnings,Spontaneity,,,,,,,
I_The_Magician.jpg,I The Magician,"Creativity,Manifestation,,,,,,,
2_The_High_Priestess.jpg,II The High Priestess,"Hidden Knowledge,Intuition,,,,,,,
3_The_Empress.jpg,III The Empress,"Abundance,Fertility,,,,,,,
4_The_Emperor.jpg,IV The Emperor,"Authority,Leadership,,,,,,,
5_The_Hierophant.jpg,V The Hierophant,"Guidance,Spirituality,,,,,,,
6_The_Lovers.jpg,VI The Lovers,"Choices,Love,,,,,,,
7_The_Chariot.jpg,"VII The Chariot ","Determination,Triumph,,,,,,,
8_Strength.jpg,VIII Strength,"Compassion,Inner Courage,,,,,,,
9_The_Hermit.jpg,IX The Hermit,"Inner Guidance,Introspection,,,,,,,
10_The_Wheel.jpg,X The Wheel,"Change,Cycles,,,,,,,
11_Justice.jpg,XI Justice,"Accountability,Balance,,,,,,,
12_The_Hanged_Man.jpg,XII The Hanged Man,"Change,New Perspective,,,,,,,
13_Death.jpg,XIII Death,"Endings,Rebirth,,,,,,,
14_Temperance.jpg,XIV Temperance,"Balance,Harmony,,,,,,,
15_The_Devil.jpg,XV The Devil,"Bondage,Materialism,,,,,,,
16_The_Tower.jpg,XVI The Tower,"Chaos,Sudden Upheaval,,,,,,,
17_The_Stars.jpg,XVII The Stars,"Hope,Inspiration,,,,,,,
18_The_Moon.jpg,XVIII The Moon,"Emotions,Hidden,,,,,,,
19_The_Sun.jpg,XIX The Sun,"Enlightenment,Joy,,,,,,,
20_Judgement.jpg,XX Judgement,"Accountability,Self-Reflection,,,,,,,
21_The_World.jpg,XXI The World,"Accomplishment,Completion,,,,,,,
22_Ace_of_Wands.jpg,Ace of Wands,"Inspiration,New Opportunities,,,,,,,
23_Two_of_Wands.jpg,Two of Wands,"Choices,New Direction,,,,,,,
24_Three_of_Wands.jpg,Three of Wands,"Expansion,Exploration,,,,,,,
25_Four_of_Wands.jpg,Four of Wands,"Celebration,Harmony,,,,,,,
26_Five_of_Wands.jpg,Five of Wands,"Challenges,Competition,,,,,,,
27_Six_of_Wands.jpg,Six of Wands,"Recognition,Success,,,,,,,
28_Seven_of_Wands.jpg,Seven of Wands,"Courage,Defending,,,,,,,
29_Eight_of_Wands.jpg,Eight of Wands,"Communication,Momentum,,,,,,,
30_Nine_of_Wands.jpg,Nine of Wands,"Facing Challenges,Perseverance,,,,,,,
31_Ten_of_Wands.jpg,Ten of Wands,"Burdens,Overwhelmed,,,,,,,
32_Page_of_Wands.jpg,Page of Wands,"Creative Inspiration,Enthusiasm,,,,,,,
33_Knight_of_Wands.jpg,Knight of Wands,"Adventure,Ambition,,,,,,,
34_Queen_of_Wands.jpg,Queen of Wands,"Charisma,Confidence,,,,,,,
35_King_of_Wands.jpg,King of Wands,"Leadership,Taking Charge,,,,,,,
36_Ace_of_Cups.jpg,Ace of Cups,"Heartwarming,Love,,,,,,,
37_Two_of_Cups.jpg,Two of Cups,"Connection,Partnership,,,,,,,
