Title,Next Page,Order,Type,Date,Timeframe,Status,Tags,AI summary,Alternative Images,FORMULATED TITLE,Last,Last Page,Next,Page Content,Parent item,Sub-item
Business Takes Shape,Early Wins (Early%20Wins%2020af84a04402808a886afbde7e64ccc0.md),0310,,,2019-2021,Outlining,,,,,,,,,,
Early Wins,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),0311,,,2022,Outlining,,,,,,,,,,
To the Survivors,Your Story Matters (Your%20Story%20Matters%2020af84a04402802f8641d3c7b7d67246.md),0701,Letter,,2025,Drafting,,,,,,,,,,
Your Story Matters,"You Are Not Alone,Even When It Feels Like It (You%20Are%20Not%20Alone,%20Even%20When%20It%20Feels%20Like%20It%2020af84a0440280edbb9df4652dc94fff.md)",0702,Page,,2025,,,,,,,,,
"You Are Not Alone,Even When It Feels Like It",To the Abandoners (To%20the%20Abandoners%2020af84a04402803db797c33a78065730.md),0703,Page,,2025,Drafting,,,,,,,,,
To the Abandoners,Ignoring Someone in Crisis Is Still Harm (Ignoring%20Someone%20in%20Crisis%20Is%20Still%20Harm%2020af84a0440280d1b10ed34002257973.md),0704,Letter,,2025,Drafting,,,,,,,,,,
Ignoring Someone in Crisis Is Still Harm,"If You Couldn’t Stay,At Least Don’t Judge (If%20You%20Couldn%E2%80%99t%20Stay,%20At%20Least%20Don%E2%80%99t%20Judge%2020af84a04402801c8f84ed857fd01f53.md)",0705,Page,,2025,,,,,,,,,
"If You Couldn’t Stay,At Least Don’t Judge",You Didn’t Fail Me by Walking Away—You Failed by Pretending to Care (You%20Didn%E2%80%99t%20Fail%20Me%20by%20Walking%20Away%E2%80%94You%20Failed%20by%20P%2020af84a0440280faaa74cdb9faa7cf3c.md),0706,Page,,2025,Drafting,,,,,,,,,
You Didn’t Fail Me by Walking Away—You Failed by Pretending to Care,To the Bystanders (To%20the%20Bystanders%2020af84a0440280a39a80dcb4560cc5b6.md),0707,Page,,2025,Drafting,,,,,,,,,,
To the Bystanders,Silence is a Choice (Silence%20is%20a%20Choice%2020af84a0440280fd9751e01b41bd6031.md),0708,Letter,,2025,Drafting,,,,,,,,,,
Silence is a Choice,Did My Best With What I Had (Did%20My%20Best%20With%20What%20I%20Had%2020af84a0440280b2b840cfe7a0782993.md),0709,Page,,2025,Drafting,,,,,,,,,,
Did My Best With What I Had,Kept Going When No One Else Did (Kept%20Going%20When%20No%20One%20Else%20Did%2020af84a0440280c6b61cd01d9067316e.md),0710,Page,,2025,Drafting,,,,,,,,,,
Kept Going When No One Else Did,To Myself (To%20Myself%2020af84a04402808da586f23efbd1e43b.md),0711,Page,,2025,Drafting,,,,,,,,,,
To Myself,Being Misunderstood Due to Processing Style (Being%20Misunderstood%20Due%20to%20Processing%20Style%2020af84a0440280bf89cfee217c0095a1.md),0712,Letter,,2025,Drafting,,,,,,,,,,
Affirmations for Survivors,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),0713,Page,,2025,Drafting,,,,,,,,,,
