Meeting name,Date,Category,Attendees,Summary,Created by
"@October 16,2025 - Luis Deflects - Gas Lights","October 16,2025",Luis,
Product release post-mortem,"February 13,2025",Retro,,Discussion agenda includes topics to be covered and additional context notes for the product release post-mortem.
Weekly team sync,"February 13,2025",Standup,,Weekly team sync agenda includes discussion topics and notes for additional context and details. A transcript is also provided.
GTM strategy presentation,"February 13,2025",Presentation,,Presentation includes an agenda for discussion topics and a section for additional notes and transcript details.
"@October 16,2025 1:42 AM","October 16,2025",Luis,Cody
"@November 7,2025 7:49 PM",,,,"The meeting covered tax planning for 1099 income
Product release post-mortem,"February 13,Retro,,2025",Cody
Weekly team sync,"February 13,Standup,,2025",Cody
GTM strategy presentation,"February 13,Presentation,,2025",Cody
"@October 16,Cody,Cody,2025 1:42 AM","October 16,Luis
"@October 16,Cody,,2025 - Luis Deflects - Gas Lights","October 16,Luis
"@November 7,Cody,,2025 7:49 PM",,
