Appliance,Actual Costs,Avg_Daily_kWh,Avg_kWh_per_Unit,Est. Daily Cost ($),Est. Daily kWh (Actual),Est. Monthly Cost ($),Notes,Rate per kWh ($),Text,Typical_Units_per_Day,Unit_Type,Usage % of Reference,Usage Band,Uses per Day (Actual),kWh per Use (Actual)
Refrigerator,,4,4,,,,EnergySage average daily usage,0.15,"The estimated wattage of the refrigerator is approximately 400 watts. It typically consumes around 4 kWh per day, which aligns with the average daily usage noted.",1,Day,0,🔵 Very Low,,
Clothes Washer,,0.12,0.4,,,,"400‑1400 W washer, 30‑45 min cycle",,"The estimated wattage of the clothes washer is between 400 and 1400 watts. The typical daily usage is approximately 0.3 units per day, which translates to about 0.12 kWh daily.",0.3,Load,0,🔵 Very Low,,
Clothes Dryer,,0.9,3,,,,3 kWh per load (EnergySage),,"The estimated wattage of the clothes dryer is 3000 watts (3 kWh per load). The typical daily usage of the dryer is approximately 0.9 kWh, which translates to about 0.3 loads per day.",0.3,Load,0,🔵 Very Low,,
Dishwasher,,0.36,1.2,,,,1.2 kWh per cycle (Direct Energy),,"The estimated wattage of the dishwasher is 1200 watts, based on the energy consumption of 1.2 kWh per cycle. The typical daily usage of the dishwasher is approximately 0.3 cycles per day, which results in an average daily energy consumption of 0.36 kWh.",0.3,Cycle,0,🔵 Very Low,,
Electric Oven,,0.75,2.5,,,,2‑3 kWh/hr (Direct Energy),,"The estimated wattage of the electric oven is approximately 2500 watts (2.5 kW). The typical daily usage of the item is about 0.3 units, resulting in an average daily consumption of 0.75 kWh.",0.3,Hour,0,🔵 Very Low,,
Microwave,,0.15,0.15,,,,600‑1000 W 15 min use (EnergySage),,The estimated wattage of the microwave is between 600 to 1000 watts. The typical daily usage of this appliance is approximately 15 minutes per day.,1,Minute15,0,🔵 Very Low,,
Coffee Maker,,0.12,0.12,,,,≈1000 W 7 min brew,,"The estimated wattage of the coffee maker is approximately 1000 W. It is typically used once per day, consuming about 0.12 kWh on average daily.",1,Brew,0,🔵 Very Low,,
"LED TV (55"")",,0.6,0.15,,,,LED TV avg 150 Wh/hr,,"The estimated wattage of the LED TV is 150 watts. The typical daily usage is approximately 4 hours, resulting in an average daily consumption of 0.6 kWh.",4,Hour,0,🔵 Very Low,,
Game Console,,0.4,0.2,,,,Typical console,,"The estimated wattage of the game console is 200 watts, based on the average kWh per unit (0.2 kWh) multiplied by 1000.

Typically, the game console is used for about 0.4 kWh per day, which corresponds to an average daily usage of approximately 2 hours.",2,Hour,0,🔵 Very Low,,
Desktop PC,,1.25,0.25,,,,250 W avg desktop,,"The estimated wattage of the desktop PC is 250 watts. The typical daily usage is approximately 5 hours, resulting in an average daily consumption of 1.25 kWh.",5,Hour,0,🔵 Very Low,,
Laptop,,0.3,0.05,,,,50 W avg laptop,,"The estimated wattage of the laptop is 50 watts. The typical daily usage of the laptop is approximately 6 hours per day, resulting in an average daily kWh consumption of 0.3 kWh.",6,Hour,0,🔵 Very Low,,
Window AC (8‑12k BTU),,5.4,0.9,,,,857‑1000 W/hr (EnergySage),,The estimated wattage of the Window AC unit is between 857 to 1000 watts per hour. The typical daily usage of this appliance is approximately 5.4 kWh.,6,Hour,0,🔵 Very Low,,
Space Heater (1500 W),,6,1.5,,,,1500 W/hr (EnergySage),,"The estimated wattage of the space heater is 1500 watts. The typical daily usage of the heater is approximately 6 kWh, which indicates it is used for about 4 hours per day at an average consumption of 1.5 kWh per hour.",4,Hour,0,🔵 Very Low,,
Ceiling Fan,,0.4,0.05,,,,50 W/hr avg,,"The estimated wattage of the ceiling fan is 50 watts. The typical daily usage of the ceiling fan is approximately 8 hours per day, resulting in an average daily consumption of about 0.4 kWh.",8,Hour,0,🔵 Very Low,,
LED Bulb (10 W),,0.06,0.01,,,,10 W/hr (EnergySage),,"The estimated wattage of the LED bulb is 10 watts. The typical daily usage of the item is approximately 6 hours, resulting in an average daily consumption of about 0.06 kWh.",6,Hour,0,🔵 Very Low,,
Electric Water Heater,,4,4,,,,Average 4 kWh/day,,"The estimated wattage of the electric water heater is 4,000 watts (4 kW). The typical daily usage of the item is approximately 4 kWh per day.",1,Day,0,🔵 Very Low,,
