Name,Platform,Status,Stages,Notes,Shoot,Publish,Created by,Edited by,Editing Date
5 stages of Reels making,Instagram,Published,"Editing: Done,Filming: Done,Voiceover: Done",,"March 1,2024","March 3
How to quickly prepare new material for Reels,Instagram,Ready for Publication,"Editing: Done,Filming: Done,Voiceover: Done",,"March 4,2024","March 12
"ITIN Applicaitons and Renewals for only $200,Do not need to send document to IRS.","Facebook,Google,X",Not Started,"Editing: Not Done,Filming: Not Done,Voiceover: Not Done",Get more clients for ITIN application.
Using AI as an assistant when creating videos,YouTube,In  Progress,"Editing: Not Done,Filming: Done,Voiceover: Done",,"March 5,2024","March 16
What lights and devices to use when creating videos at home,TikTok,Not Started,"Editing: Not Done,Filming: Not Done,Voiceover: Not Done",,"March 7,2024","March 15
5 stages of Reels making,,"March 1,2024",2024 1:55 AM","March 3,Instagram,Cody,Cody,"July 22
"ITIN Applicaitons and Renewals for only $200,2024 1:55 AM",X",Google,"July 22,"Facebook,Get more clients for ITIN application.,Do not need to send document to IRS.",Cody,Cody
How to quickly prepare new material for Reels,,"March 4,2024",2024 1:55 AM","March 12,Instagram,Cody,Cody,"July 22
What lights and devices to use when creating videos at home,,"March 7,2024",2024 1:55 AM","March 15,TikTok,Cody,Cody,"July 22
Using AI as an assistant when creating videos,,"March 5,2024",2024 1:55 AM","March 16,YouTube,Cody,Cody,"July 22
