Section ID,Section Name,Content,Updated Content,AI translation,Effective Date,Status,Version,Date Modified Last,Cover Image
1.0,📄 Service Agreement,"📄 Service Agreement
Effective Date: [Date Signed]
Between:
Client Partner: [Client Name]
","📄 Service Agreement
Effective Date: [Date Signed]
Between:
Client Partner: [Client Name]
","Nombre de la Sección: 📄 Acuerdo de Servicio

Contenido: 📄 Acuerdo de Servicio
Fecha de Vigencia: [Fecha Firmada]
Entre:
Socio Cliente: [Nombre del Cliente]","March 1, 2025",Done,1,"April 22, 2025 6:48 AM (EDT)",
1.0.1,Customer,"[customer name]_____________________________________________________________________
And:
Qially Solutions LLC (“Company”)","[customer name]_____________________________________________________________________
And:
Qially Solutions LLC (“Company”)","Nombre de la sección: Cliente

Contenido: [nombre del cliente]_____________________________________________________________________
Y:
Qially Solutions LLC (“Compañía”)",,Not started,,"April 22, 2025 6:48 AM (EDT)",
1.0.2,"Welcome & Partnership Statement
","Welcome & Partnership Statement
Thank you for choosing Qially to support your business. 
This agreement outlines the terms of our working relationship, including the services we’ll provide, your responsibilities, and how we’ll collaborate for your success.

Our mission is to empower individuals and businesses through ethical practices, financial clarity, and smart, tech-forward solutions. 
We're not your average firm — we're your async partner, focused on results, not meetings.

We operate 100% asynchronously for your convenience and efficiency. 
That means:
• No phone calls unless it's a true emergency
• All communication happens through chat, email, and your client portal
• You can message us any time — we’ll reply within 24 hours under normal circumstances. 

At Qially, we believe in:
• Honesty – Transparent, ethical service
• Accuracy – Precision in every report and return
• Client Focus – A true partner in your growth
• Innovation – Tools, automation, and AI that work for you
You'll also receive access to exclusive templates, tools, and learning resources to help you stay organized and proactive.
Let’s make things simple, scalable, and successful — together.","Welcome & Partnership Statement
Thank you for choosing Qially to support your business. 
This agreement outlines the terms of our working relationship, including the services we’ll provide, your responsibilities, and how we’ll collaborate for your success.

Our mission is to empower individuals and businesses through ethical practices, financial clarity, and smart, tech-forward solutions. 
We're not your average firm — we're your async partner, focused on results, not meetings.

We operate 100% asynchronously for your convenience and efficiency. 
That means:
• No phone calls unless it's a true emergency
• All communication happens through chat, email, and your client portal
• You can message us any time — we’ll reply within 24 hours under normal circumstances. 

At Qially, we believe in:
• Honesty – Transparent, ethical service
• Accuracy – Precision in every report and return
• Client Focus – A true partner in your growth
• Innovation – Tools, automation, and AI that work for you
You'll also receive access to exclusive templates, tools, and learning resources to help you stay organized and proactive.
Let’s make things simple, scalable, and successful — together.","Nombre de la Sección: Declaración de Bienvenida y Asociación

Contenido: Declaración de Bienvenida y Asociación
Gracias por elegir Qially para apoyar su negocio.
Este acuerdo describe los términos de nuestra relación laboral, incluidos los servicios que proporcionaremos, sus responsabilidades y cómo colaboraremos para su éxito.

Nuestra misión es empoderar a individuos y empresas a través de prácticas éticas, claridad financiera y soluciones inteligentes y orientadas a la tecnología.
No somos su firma promedio: somos su socio asíncrono, enfocado en resultados, no en reuniones.

Operamos 100% de manera asíncrona para su conveniencia y eficiencia.
Eso significa:
• No hay llamadas telefónicas a menos que sea una verdadera emergencia
• Toda la comunicación se realiza a través de chat, correo electrónico y su portal de cliente
• Puede enviarnos un mensaje en cualquier momento: responderemos dentro de 24 horas en circunstancias normales.

En Qially, creemos en:
• Honestidad – Servicio transparente y ético
• Precisión – Precisión en cada informe y declaración
• Enfoque en el Cliente – Un verdadero socio en su crecimiento
• Innovación – Herramientas, automatización e IA que trabajan para usted
También recibirá acceso a plantillas, herramientas y recursos de aprendizaje exclusivos para ayudarle a mantenerse organizado y proactivo.
Hagamos las cosas simples, escalables y exitosas — juntos.",,Not started,,"April 22, 2025 6:48 AM (EDT)",
2.0,📘 Section 2: Scope of Services,"——————————————————————————————-
Under this agreement, Qially Solutions LLC (“Company”) agrees to provide the Client Partner with the professional services selected in their approved proposal. The services may include, but are not limited to, the following:
Accounting & Bookkeeping
• Monthly transaction categorization and reconciliation
• Management of undeposited funds and unapplied payments
• Capture and assignment of receipts to transactions
• Bank, credit card, and loan reconciliations
• Monthly financial reports (P&L, balance sheet, and cash flow)
Tax Services
• Quarterly and annual federal/state tax preparation
• Strategic tax planning and consultation
• Filing of business returns (1120, 1065, 1040 w/ Schedules)
• Filing of amended returns, estimated payments, and sales tax
• Support for IRS transcripts and audit response
Payroll & HR Support
• Full-service payroll setup and processing
• Year-end W-2 and 1099 preparation
• Employee onboarding & compliance (HR support)
• Assistance with verifications, terminations, and audits
• Access to HR templates and policies (based on package)
Compliance & Business Filings
• State/city business registrations and renewals
• Business license and permit assistance
• Sales tax account setup, filing, and remittance
• EIN, ITIN, or IRS account registration support
• Annual reports and compliance tracking
Financial Operations Support
• Accounts payable setup and bill payment workflows
• Support with invoicing and receivables collection
• Cash flow projections and budgeting
• Financial system reviews (e.g. QuickBooks, Gusto)
• Setup of bookkeeping automations and tools
Technology & Strategy (Select Packages Only)
• Access to client portal and task dashboards
• AI-enhanced financial tools and reports
• One-on-one strategy sessions (quarterly or ad-hoc)
• Performance metrics and KPI tracking
• Technology integrations with CRMs or payment systems
📌 Notes:
• Services are selected per-client and may vary by package.
• A one-time activation fee may apply for initial setup, integration, and onboarding.
• The Company reserves the right to adjust service offerings with 30 days’ written notice.",,"Nombre de la Sección: 📘 Sección 2: Alcance de Servicios

Contenido: ——————————————————————————————-
Bajo este acuerdo, Qially Solutions LLC (“Empresa”) se compromete a proporcionar al Socio Cliente los servicios profesionales seleccionados en su propuesta aprobada. Los servicios pueden incluir, pero no se limitan a, lo siguiente:
Contabilidad y Registro
• Clasificación y reconciliación mensual de transacciones
• Gestión de fondos no depositados y pagos no aplicados
• Captura y asignación de recibos a transacciones
• Reconciliaciones bancarias, de tarjetas de crédito y de préstamos
• Informes financieros mensuales (P&L, balance general y flujo de efectivo)
Servicios Fiscales
• Preparación de impuestos federales/estatales trimestrales y anuales
• Planificación fiscal estratégica y consulta
• Presentación de declaraciones comerciales (1120, 1065, 1040 con Anexos)
• Presentación de declaraciones enmendadas, pagos estimados y impuestos sobre ventas
• Apoyo para transcripciones del IRS y respuestas a auditorías
Soporte de Nómina y Recursos Humanos
• Configuración y procesamiento de nómina a servicio completo
• Preparación de W-2 y 1099 al final del año
• Integración y cumplimiento de empleados (soporte de RRHH)
• Asistencia con verificaciones, despidos y auditorías
• Acceso a plantillas y políticas de RRHH (basado en el paquete)
Cumplimiento y Presentaciones Comerciales
• Registro y renovación de negocios estatales/municipales
• Asistencia para licencias y permisos comerciales
• Configuración de cuentas de impuestos sobre ventas, presentación y remisión
• Soporte para registro de EIN, ITIN o cuentas del IRS
• Informes anuales y seguimiento de cumplimiento
Soporte de Operaciones Financieras
• Configuración de cuentas por pagar y flujos de trabajo de pago de facturas
• Soporte con facturación y cobro de cuentas por cobrar
• Proyecciones de flujo de efectivo y presupuestos
• Revisión de sistemas financieros (por ejemplo, QuickBooks, Gusto)
• Configuración de automatizaciones y herramientas de contabilidad
Tecnología y Estrategia (Solo Paquetes Seleccionados)
• Acceso al portal del cliente y tableros de tareas
• Herramientas y informes financieros mejorados por IA
• Sesiones de estrategia uno a uno (trimestrales o ad-hoc)
• Métricas de rendimiento y seguimiento de KPI
• Integraciones tecnológicas con CRM o sistemas de pago
📌 Notas:
• Los servicios se seleccionan por cliente y pueden variar según el paquete.
• Puede aplicarse una tarifa de activación única para la configuración inicial, integración e incorporación.
• La Empresa se reserva el derecho de ajustar la oferta de servicios con 30 días de aviso por escrito.","March 1, 2025",Done,1,"April 22, 2025 6:51 AM (EDT)",
3.0,📘 Section 3: Responsibilities,"——————————————————————————————-
This section outlines the obligations of both parties to ensure smooth, effective, and compliant delivery of services.",📘 Section 2: Scope of Services,"Nombre de la Sección: 📘 Sección 3: Responsabilidades

Contenido: ——————————————————————————————-
Esta sección describe las obligaciones de ambas partes para garantizar la entrega de servicios de manera fluida, efectiva y conforme.","March 1, 2025",Done,1,"April 22, 2025 6:52 AM (EDT)",
3.1,Service Offering,"🧾 Client Partner Responsibilities
The Client Partner agrees to:
1. Provide Complete and Timely Information
    ◦ Submit all required business, financial, and tax documents by agreed deadlines
    ◦ Upload receipts and bills weekly (or more frequently) to the portal or designated system
    ◦ Ensure access to platforms (e.g., QuickBooks, banks, payroll) is granted as needed
2. Respond Promptly
    ◦ Reply to Company requests within 48 hours whenever possible
    ◦ Notify the Company of material changes to the business or its operations
3. Maintain Compliance
    ◦ Adhere to local, state, and federal tax and business laws
    ◦ Follow ethical practices and avoid engaging the Company in unlawful activities
4. Respect Asynchronous Operations
    ◦ Use approved channels (chat, email, portal) for communication
    ◦ Refrain from calling or texting unless an emergency arises
    ◦ Understand that service is delivered asynchronously to improve efficiency
5. Treat Staff Respectfully
    ◦ Maintain a professional tone in all interactions
    ◦ Avoid abusive, discriminatory, or disruptive conduct
    ◦ Communicate concerns constructively through designated channels
6. Stay Engaged
    ◦ Participate in review cycles, planning sessions, or compliance checkpoints when invited
    ◦ Implement suggested improvements or updates where appropriate
🧑‍💼 Company Responsibilities
Qially agrees to:
1. Deliver Services Promptly and Accurately
    ◦ Complete services according to the scope outlined and in a timely manner
    ◦ Provide monthly or periodic updates, reports, and guidance
2. Maintain Secure, Compliant Systems
    ◦ Protect client data using secure tools and encrypted channels
    ◦ Adhere to all relevant data protection laws and confidentiality practices
3. Respond Within Service Timeframes
    ◦ Handle inquiries and service tickets based on urgency guidelines (outlined in Section 4)
    ◦ Communicate known delays, holidays, or seasonal blackouts in advance
4. Operate Transparently
    ◦ Inform the Client of any required third-party costs or changes in pricing
    ◦ Keep a clear record of service logs, time spent, and invoice history
5. Offer Strategic Support (as included in your plan)
    ◦ Provide insight, feedback, and advisory services when applicable
    ◦ Share tools and automation when helpful to improve results","Under this agreement, Qially Solutions LLC (“Company”) agrees to provide the Client Partner with the professional services selected in their approved proposal. The services may include, but are not limited to, the following:

Accounting & Bookkeeping
• Monthly transaction categorization and reconciliation
• Management of undeposited funds and unapplied payments
• Capture and assignment of receipts to transactions
• Bank, credit card, and loan reconciliations
• Quarterly financial reports (P&L & balance sheet)

Tax Services
• Quarterly and annual federal/state tax preparation
• Strategic tax planning and consultation
• Filing of business returns (1120, 1065, 1040 w/ Schedules)
• Filing of amended returns, estimated payments, and sales tax
• Support for IRS transcripts and audit response

Payroll & HR Support
• Year-end W-2 and 1099 preparation
• Employee onboarding & compliance (HR support)
• Assistance with verifications, terminations, and audits
• Access to HR templates and policies (based on package)

Compliance & Business Filings
• State/city business registrations and renewals
• Business license and permit assistance
• Sales tax account setup, filing, and remittance
• EIN, ITIN, or IRS account registration support
• Annual reports and compliance tracking

Financial Operations Support
• Accounts payable setup and bill payment workflows
• Support with invoicing and receivables collection
• Cash flow projections and budgeting
• Financial system reviews (e.g. QuickBooks, Gusto)
• Setup of bookkeeping automations and tools

Technology & Strategy (Select Packages Only)
• Access to client portal and task dashboards
• AI-enhanced financial tools and reports
• One-on-one strategy sessions (quarterly or ad-hoc)
• Performance metrics and KPI tracking
• Technology integrations with CRMs or payment systems

📌 Notes:
• Services are selected per-client and may vary by package.
• A one-time activation fee may apply for initial setup, integration, and onboarding.
• The Company reserves the right to adjust service offerings with 30 days’ written notice.
","Nombre de la sección: Oferta de Servicios

Contenido: 🧾 Responsabilidades del Socio del Cliente
El Socio del Cliente se compromete a:
1. Proporcionar Información Completa y Oportuna
◦ Presentar todos los documentos comerciales, financieros y fiscales requeridos dentro de los plazos acordados
◦ Subir recibos y facturas semanalmente (o con más frecuencia) al portal o sistema designado
◦ Asegurar el acceso a plataformas (por ejemplo, QuickBooks, bancos, nómina) según sea necesario
2. Responder Puntualmente
◦ Responder a las solicitudes de la Empresa dentro de 48 horas siempre que sea posible
◦ Notificar a la Empresa sobre cambios materiales en el negocio o sus operaciones
3. Mantener el Cumplimiento
◦ Cumplir con las leyes fiscales y comerciales locales, estatales y federales
◦ Seguir prácticas éticas y evitar involucrar a la Empresa en actividades ilegales
4. Respetar las Operaciones Asincrónicas
◦ Utilizar canales aprobados (chat, correo electrónico, portal) para la comunicación
◦ Abstenerse de llamar o enviar mensajes de texto a menos que surja una emergencia
◦ Entender que el servicio se entrega de manera asincrónica para mejorar la eficiencia
5. Tratar al Personal con Respeto
◦ Mantener un tono profesional en todas las interacciones
◦ Evitar conductas abusivas, discriminatorias o disruptivas
◦ Comunicar preocupaciones de manera constructiva a través de los canales designados
6. Mantenerse Comprometido
◦ Participar en ciclos de revisión, sesiones de planificación o puntos de control de cumplimiento cuando se le invite
◦ Implementar mejoras o actualizaciones sugeridas donde sea apropiado
🧑‍💼 Responsabilidades de la Empresa
Qially se compromete a:
1. Entregar Servicios de Manera Oportuna y Precisa
◦ Completar los servicios de acuerdo con el alcance descrito y de manera oportuna
◦ Proporcionar actualizaciones mensuales o periódicas, informes y orientación
2. Mantener Sistemas Seguros y en Cumplimiento
◦ Proteger los datos de los clientes utilizando herramientas seguras y canales encriptados
◦ Cumplir con todas las leyes de protección de datos y prácticas de confidencialidad relevantes
3. Responder Dentro de los Plazos de Servicio
◦ Manejar consultas y tickets de servicio basados en pautas de urgencia (especificadas en la Sección 4)
◦ Comunicar retrasos conocidos, días festivos o cortes estacionales con anticipación
4. Operar de Manera Transparente
◦ Informar al Cliente sobre cualquier costo de terceros requerido o cambios en la fijación de precios
◦ Mantener un registro claro de los registros de servicio, tiempo dedicado e historial de facturas
5. Ofrecer Soporte Estratégico (según lo incluido en su plan)
◦ Proporcionar información, comentarios y servicios de asesoría cuando sea aplicable
◦ Compartir herramientas y automatización cuando sea útil para mejorar resultados","March 1, 2025",Done,1,"April 22, 2025 6:52 AM (EDT)",
3.2," Section 3: Responsibilities","📘 Section 3: Responsibilities
This section outlines the obligations of both parties to ensure smooth, effective, and compliant delivery of services.
🧾 Client Partner Responsibilities
The Client Partner agrees to:
1. Provide Complete and Timely Information
    ◦ Submit all required business, financial, and tax documents by agreed deadlines
    ◦ Upload receipts and bills weekly (or more frequently) to the portal or designated system
    ◦ Ensure access to platforms (e.g., QuickBooks, banks, payroll) is granted as needed
2. Respond Promptly
    ◦ Reply to Company requests within 48 hours whenever possible
    ◦ Notify the Company of material changes to the business or its operations
3. Maintain Compliance
    ◦ Adhere to local, state, and federal tax and business laws
    ◦ Follow ethical practices and avoid engaging the Company in unlawful activities
4. Respect Asynchronous Operations
    ◦ Use approved channels (chat, email, portal) for communication
    ◦ Refrain from calling or texting unless an emergency arises
    ◦ Understand that service is delivered asynchronously to improve efficiency
5. Treat Staff Respectfully
    ◦ Maintain a professional tone in all interactions
    ◦ Avoid abusive, discriminatory, or disruptive conduct
    ◦ Communicate concerns constructively through designated channels
6. Stay Engaged
    ◦ Participate in review cycles, planning sessions, or compliance checkpoints when invited
    ◦ Implement suggested improvements or updates where appropriate
🧑‍💼 Company Responsibilities
Qially agrees to:
1. Deliver Services Promptly and Accurately
    ◦ Complete services according to the scope outlined and in a timely manner
    ◦ Provide monthly or periodic updates, reports, and guidance
2. Maintain Secure, Compliant Systems
    ◦ Protect client data using secure tools and encrypted channels
    ◦ Adhere to all relevant data protection laws and confidentiality practices
3. Respond Within Service Timeframes
    ◦ Handle inquiries and service tickets based on urgency guidelines (outlined in Section 4)
    ◦ Communicate known delays, holidays, or seasonal blackouts in advance
4. Operate Transparently
    ◦ Inform the Client of any required third-party costs or changes in pricing
    ◦ Keep a clear record of service logs, time spent, and invoice history
5. Offer Strategic Support (as included in your plan)
    ◦ Provide insight, feedback, and advisory services when applicable
    ◦ Share tools and automation when helpful to improve results",,"Nombre de la Sección: Sección 3: Responsabilidades

Contenido: 📘 Sección 3: Responsabilidades
Esta sección describe las obligaciones de ambas partes para garantizar la entrega de servicios de manera fluida, efectiva y conforme a la normativa.
🧾 Responsabilidades del Socio Cliente
El Socio Cliente acepta:
1. Proporcionar Información Completa y Oportuna
◦ Enviar todos los documentos comerciales, financieros y fiscales requeridos dentro de los plazos acordados
◦ Subir recibos y facturas semanalmente (o con mayor frecuencia) al portal o sistema designado
◦ Asegurar el acceso a plataformas (por ejemplo, QuickBooks, bancos, nómina) según sea necesario
2. Responder Rápidamente
◦ Responder a las solicitudes de la Empresa dentro de las 48 horas siempre que sea posible
◦ Notificar a la Empresa sobre cambios materiales en el negocio o sus operaciones
3. Mantener el Cumplimiento
◦ Cumplir con las leyes fiscales y comerciales locales, estatales y federales
◦ Seguir prácticas éticas y evitar involucrar a la Empresa en actividades ilegales
4. Respetar las Operaciones Asincrónicas
◦ Usar canales aprobados (chat, correo electrónico, portal) para la comunicación
◦ Abstenerse de llamar o enviar mensajes de texto a menos que surja una emergencia
◦ Entender que el servicio se entrega de manera asincrónica para mejorar la eficiencia
5. Tratar al Personal con Respeto
◦ Mantener un tono profesional en todas las interacciones
◦ Evitar conductas abusivas, discriminatorias o disruptivas
◦ Comunicar preocupaciones de manera constructiva a través de canales designados
6. Mantenerse Comprometido
◦ Participar en ciclos de revisión, sesiones de planificación o puntos de control de cumplimiento cuando se le invite
◦ Implementar mejoras o actualizaciones sugeridas donde sea apropiado
🧑‍💼 Responsabilidades de la Empresa
Qially acepta:
1. Entregar Servicios de Manera Rápida y Precisa
◦ Completar los servicios de acuerdo con el alcance descrito y de manera oportuna
◦ Proporcionar actualizaciones, informes y orientaciones mensuales o periódicas
2. Mantener Sistemas Seguros y Cumplidores
◦ Proteger los datos del cliente utilizando herramientas seguras y canales encriptados
◦ Cumplir con todas las leyes de protección de datos y prácticas de confidencialidad relevantes
3. Responder Dentro de los Plazos de Servicio
◦ Manejar consultas y tickets de servicio según las pautas de urgencia (descritas en la Sección 4)
◦ Comunicar retrasos conocidos, días festivos o bloqueos estacionales con antelación
4. Operar de Manera Transparente
◦ Informar al Cliente sobre cualquier costo de terceros requerido o cambios en los precios
◦ Mantener un registro claro de los registros de servicio, tiempo dedicado e historial de facturas
5. Ofrecer Soporte Estratégico (según se incluya en su plan)
◦ Proporcionar información, comentarios y servicios de asesoría cuando sea aplicable
◦ Compartir herramientas y automatización cuando sea útil para mejorar resultados","March 1, 2025",Done,1,"April 22, 2025 6:58 AM (EDT)",
4.0,"📘 Section 4: Response Times & Communication Expectations
","📘 Section 4: Response Times & Communication Expectations
Qially operates 100% asynchronously, using digital channels to deliver fast, reliable, and documented service. Phone calls are not part of regular service delivery and will only be used in emergencies at the discretion of the Company.
🔄 Communication Channels
All official communication should occur via:
• The Qially Client Portal
• Email
• In-platform chat tools (e.g. Slack, Asana, or Notion)
The Company is not responsible for requests made through unauthorized channels such as personal messages, social media, or direct employee contact unless explicitly approved.
⏱️ Response Time GuidelinesUrgency LevelResponse Time (Business Hours)ExamplesCritical – Urgent & Time-Sensitive1–8 hoursIRS notice, missing payroll, filing deadlineHigh – Urgent but Not Critical9–16 hoursSoftware login issue, QuickBooks sync errorMedium – Important but Not Urgent16–48 hoursDocument requests, financial clarificationsLow – General or Non-Essential48–72 hoursAdmin questions, non-urgent updates⏳ Business hours exclude weekends and federal holidays.

⏲️ Countdown begins when the request is received through the approved channel and marked as open.
📌 Client Reminders
• No calls or texts unless requested or approved by the Company.
• Clients should respect working hours and async boundaries to ensure smooth service for all partners.
• Emergencies should be flagged clearly using designated tags (e.g., “URGENT” in subject line).",,"Nombre de la Sección: 📘 Sección 4: Tiempos de Respuesta y Expectativas de Comunicación

Contenido: 📘 Sección 4: Tiempos de Respuesta y Expectativas de Comunicación
Qially opera 100% de manera asincrónica, utilizando canales digitales para ofrecer un servicio rápido, confiable y documentado. Las llamadas telefónicas no son parte de la entrega regular del servicio y solo se utilizarán en emergencias a discreción de la Empresa.
🔄 Canales de Comunicación
Toda la comunicación oficial debe ocurrir a través de:
• El Portal del Cliente de Qially
• Correo electrónico
• Herramientas de chat en la plataforma (por ejemplo, Slack, Asana o Notion)
La Empresa no es responsable de las solicitudes realizadas a través de canales no autorizados, como mensajes personales, redes sociales o contacto directo con empleados, a menos que se aprueben explícitamente.
⏱️ Directrices de Tiempo de RespuestaNivel de UrgenciaTiempo de Respuesta (Horas Laborales)EjemplosCrítico – Urgente y Sensible al Tiempo1–8 horasNotificación del IRS, nómina faltante, fecha límite de presentaciónAlta – Urgente pero No Crítica9–16 horasProblema de inicio de sesión de software, error de sincronización de QuickBooksMedia – Importante pero No Urgente16–48 horasSolicitudes de documentos, aclaraciones financierasBaja – General o No Esencial48–72 horasPreguntas administrativas, actualizaciones no urgentes⏳ Las horas laborales excluyen los fines de semana y los días festivos federales.

⏲️ La cuenta regresiva comienza cuando se recibe la solicitud a través del canal aprobado y se marca como abierta.
📌 Recordatorios para Clientes
• No se permiten llamadas ni mensajes de texto a menos que sean solicitados o aprobados por la Empresa.
• Los clientes deben respetar las horas laborales y los límites asincrónicos para garantizar un servicio fluido para todos los socios.
• Las emergencias deben ser señaladas claramente utilizando etiquetas designadas (por ejemplo, “URGENTE” en la línea de asunto).","March 1, 2025",Done,1,"April 22, 2025 6:57 AM (EDT)",
4.1,Components,"📘 Section 5: Pricing & Payment Terms
💵 Service Fees
Client Partner agrees to pay Qially Solutions LLC (“Company”) according to the pricing and package selected in their proposal. Fees may include:
• Monthly Service Fees (flat or tiered based on scope)
• One-Time Activation Fees for onboarding, integrations, or account setup
• Hourly Rates for out-of-scope or ad-hoc work (if agreed in writing)
• Third-Party Pass-Through Charges (e.g., software subscriptions, 1099 processing, transcript requests)
An itemized breakdown of rates and deliverables is available in Exhibit A: Pricing Sheet, which is incorporated by reference into this agreement.
💳 Payment Authorization & Billing Schedule
• All services require an active payment method on file
• Payments are automatically processed between the 1st and 3rd of each month
• Clients authorize Qially to charge any balance due, including:
    ◦ Monthly fees
    ◦ Late fees
    ◦ Third-party expenses
    ◦ Hourly overages (if applicable)
In the event of card failure, Qially may use the backup bank account on file to process payment. Continued failure to maintain a valid payment method may result in service interruption or termination.
🧾 Late Payments & Collections
If payment is not received within 5 days of the due date:
• A $20 late fee will apply
• A 2% monthly interest will begin accruing on the overdue balance
If an account remains unpaid for 30+ days:
• A $100 collection fee will be applied
• The Company may suspend services and initiate collections procedures
The Client Partner agrees to pay all reasonable costs of collection, including:
• Administrative fees
• Third-party system fees
• Shipping/postage (if applicable)
• Legal or attorney fees
• Company time billed at $100/hr for resolution efforts
🔐 Lien Rights
Qially reserves the right to withhold access to tax documents, portals, and software systems until payment is made in full. An accountant’s lien may be placed on all physical and digital work products created under this agreement.
📆 Payment Plans & Financing Terms
Unless otherwise stated in writing, all services are billed as a total engagement fee and any monthly payment schedule is a courtesy payment plan, not a month-by-month service fee.
By choosing a monthly payment option, the Client Partner understands and agrees that:
1. The full balance is due in its entirety, regardless of how long the engagement lasts or how frequently services are delivered in a given month.
2. Monthly payments are structured for Client convenience only and represent a financed arrangement internally by the Company.
3. No refund or pro-rating shall be granted due to a perceived lack of activity in any specific month, as long as the agreed deliverables are met.
4. Services may be front-loaded, delayed, or spread out over the term based on workflow, availability, and efficiency, at the sole discretion of the Company.
This flexibility allows the Company to provide strategic services efficiently, while enabling the Client to budget more effectively over time. By signing this agreement, the Client acknowledges that they are entering into a full-service engagement and not a pay-per-month model.",,"Nombre de la Sección: Componentes

Contenido: 📘 Sección 5: Precios y Términos de Pago
💵 Tarifas de Servicio
El Socio Cliente acepta pagar a Qially Solutions LLC (“Compañía”) de acuerdo con los precios y el paquete seleccionados en su propuesta. Las tarifas pueden incluir:
• Tarifas de Servicio Mensuales (fijas o escalonadas según el alcance)
• Tarifas de Activación Única por incorporación, integraciones o configuración de cuenta
• Tarifas Horarias por trabajo fuera de alcance o ad-hoc (si se acuerda por escrito)
• Cargos de Terceros (por ejemplo, suscripciones de software, procesamiento de 1099, solicitudes de transcripciones)
Un desglose detallado de tarifas y entregables está disponible en el Anexo A: Hoja de Precios, que se incorpora por referencia en este acuerdo.
💳 Autorización de Pago y Cronograma de Facturación
• Todos los servicios requieren un método de pago activo en archivo
• Los pagos se procesan automáticamente entre el 1 y el 3 de cada mes
• Los clientes autorizan a Qially a cargar cualquier saldo pendiente, incluyendo:
◦ Tarifas mensuales
◦ Tarifas por demora
◦ Gastos de terceros
◦ Excesos horarios (si aplica)
En caso de fallo de la tarjeta, Qially puede usar la cuenta bancaria de respaldo en archivo para procesar el pago. La continua falta de mantenimiento de un método de pago válido puede resultar en interrupción o terminación del servicio.
🧾 Pagos Tardíos y Cobros
Si el pago no se recibe dentro de los 5 días posteriores a la fecha de vencimiento:
• Se aplicará una tarifa por demora de $20
• Se comenzará a acumular un interés mensual del 2% sobre el saldo adeudado
Si una cuenta permanece impaga por más de 30 días:
• Se aplicará una tarifa de cobranza de $100
• La Compañía puede suspender los servicios e iniciar procedimientos de cobranza
El Socio Cliente acepta pagar todos los costos razonables de cobranza, incluyendo:
• Tarifas administrativas
• Tarifas de sistemas de terceros
• Envío/postal (si aplica)
• Honorarios legales o de abogados
• Tiempo de la Compañía facturado a $100/hora por esfuerzos de resolución
🔐 Derechos de Privilegio
Qially se reserva el derecho de retener el acceso a documentos fiscales, portales y sistemas de software hasta que se realice el pago completo. Se puede colocar un privilegio de contador sobre todos los productos de trabajo físicos y digitales creados bajo este acuerdo.
📆 Planes de Pago y Términos de Financiamiento
A menos que se indique lo contrario por escrito, todos los servicios se facturan como una tarifa total de compromiso y cualquier cronograma de pago mensual es un plan de pago de cortesía, no una tarifa de servicio mes a mes.
Al elegir una opción de pago mensual, el Socio Cliente entiende y acepta que:
1. El saldo total es debido en su totalidad, independientemente de cuánto dure el compromiso o con qué frecuencia se entreguen los servicios en un mes determinado.
2. Los pagos mensuales están estructurados solo para la conveniencia del Cliente y representan un arreglo financiado internamente por la Compañía.
3. No se otorgará reembolso ni prorrateo debido a una percepción de falta de actividad en ningún mes específico, siempre que se cumplan los entregables acordados.
4. Los servicios pueden ser cargados por adelantado, retrasados o distribuidos a lo largo del término según el flujo de trabajo, disponibilidad y eficiencia, a la entera discreción de la Compañía.
Esta flexibilidad permite a la Compañía proporcionar servicios estratégicos de manera eficiente, mientras permite al Cliente presupuestar de manera más efectiva con el tiempo. Al firmar este acuerdo, el Cliente reconoce que está ingresando a un compromiso de servicio completo y no a un modelo de pago por mes.","March 1, 2025",Done,1,"April 22, 2025 6:57 AM (EDT)",
4.3,Late Fees & Interest,"If payment is not received by the due date, a late fee structure will apply. A flat fee of $20 will be charged after 5 days past the due date. Additionally, interest will accrue at a rate of 2% monthly on the outstanding balance until the payment is received in full.",,"Nombre de la Sección: Cargos por Mora e Intereses

Contenido: Si el pago no se recibe antes de la fecha de vencimiento, se aplicará una estructura de cargos por mora. Se cobrará una tarifa fija de $20 después de 5 días de la fecha de vencimiento. Además, se acumularán intereses a una tasa del 2% mensual sobre el saldo pendiente hasta que el pago se reciba en su totalidad.","March 1, 2025",Done,1,,
