Name,Course Description,Type,Code,Freq,AI keywords,Cover,Course Chapters,Parent item,Subtitle,URL
01.00 Compliance Essentials: Federally Mandated Workforce Training,"This course,""Compliance Essentials: Federally Mandated Workforce Training,"" provides a comprehensive overview of the essential legal requirements that organizations must adhere to in order to ensure compliance with federal regulations. Participants will gain a thorough understanding of the various compliance mandates that apply to their industry,learn best practices for maintaining compliance,and explore the implications of non-compliance. This training is crucial for both new hires and existing employees to foster a culture of compliance within the organization.",Bundle,,,,
01.01 Federally Mandated Training: Sexual Harassment Prevention,"The ""Sexual Harassment Prevention"" course is designed to educate employees about the importance of preventing sexual harassment in the workplace. This training provides participants with an understanding of what constitutes sexual harassment,the impact it has on individuals and organizations,and the legal responsibilities of both employers and employees. Through interactive lessons,assessments,and multimedia resources,participants will gain the knowledge and skills necessary to foster a respectful and safe work environment. The course emphasizes the importance of reporting incidents and implementing preventive measures,,,,
Workplace Safety (OSHA Standards),"The Workplace Safety course is designed to educate employees on the importance of safety standards in the workplace,focusing on OSHA regulations. Participants will learn about the necessary precautions and procedures to ensure a safe working environment,recognize potential hazards,and understand their rights and responsibilities under OSHA standards. This course aims to foster a culture of safety within the organization and to reduce the risk of workplace injuries and accidents.",Course,01.02,,,,
HIPAA Compliance (For applicable industries),"This course provides an overview of the Health Insurance Portability and Accountability Act (HIPAA) and its significance in protecting patient information. Participants will learn about the key provisions of HIPAA,compliance requirements,and best practices for safeguarding sensitive health data. Through case studies and practical examples,attendees will gain insight into how to apply HIPAA regulations in their respective industries,ensuring that they maintain the highest standards of confidentiality and security in handling patient information.",Course,,,,
",,,,,,,,,,
Wage and Hour Laws (FLSA)","This course provides an overview of the Wage and Hour Laws as governed by the Fair Labor Standards Act (FLSA). Participants will learn about the key provisions of the FLSA,including minimum wage requirements,overtime pay regulations,and recordkeeping standards. The course will also cover the implications of these laws for both employers and employees,ensuring that attendees understand their rights and responsibilities. By the end of the course,participants will be equipped with the knowledge necessary to navigate wage and hour issues effectively in the workplace.",,,,
State-Specific Mandated Training (Indiana),"This course provides essential training tailored to the specific requirements mandated by the state of Indiana. It covers vital topics relevant to compliance and best practices within the state,ensuring that participants are well-informed and prepared for their roles. The training is designed to be engaging and informative,incorporating interactive elements to enhance the learning experience. Participants will gain a thorough understanding of state regulations and policies,which are critical for effective job performance and adherence to legal standards.",Bundle,02.00,,,,
Anti-Discrimination Training,"This Anti-Discrimination Training course aims to educate participants about the importance of recognizing and preventing discrimination in various settings. Through interactive discussions and practical scenarios,learners will gain insights into the impact of discrimination on individuals and communities. The course will cover key concepts related to diversity,equity,and inclusion,equipping participants with the tools they need to foster a respectful and inclusive environment.",Course,,,,
Workplace Substance Abuse Training,"This Workplace Substance Abuse Training course is designed to educate employees about the risks and consequences of substance abuse in the workplace. It aims to provide participants with the tools and knowledge necessary to recognize substance abuse issues,understand their impact on safety and productivity,and promote a healthier work environment. Through interactive discussions and practical scenarios,attendees will learn about prevention strategies,resources for support,and the importance of maintaining a drug-free workplace.",,,,
General Workplace Safety,"This course on General Workplace Safety provides essential training to ensure a safe and healthy work environment for all employees. Participants will learn about potential hazards,safety protocols,and best practices to prevent accidents and injuries. The course will cover topics such as emergency procedures,proper use of personal protective equipment (PPE),and the importance of reporting unsafe conditions. Through interactive discussions and practical scenarios,attendees will gain the knowledge and skills needed to promote safety in the workplace.",,,,
Emergency Preparedness,"This course on Emergency Preparedness is designed to equip participants with the essential skills and knowledge required to effectively respond to various emergencies. Participants will learn about risk assessment,emergency planning,and response strategies to ensure safety and minimize risks in crisis situations. Through interactive discussions and practical exercises,learners will gain confidence in their ability to prepare for and manage emergencies in their communities and workplaces.",Course,3.1,,,,
Ergonomics and Workplace Injury Prevention,"This course on Ergonomics and Workplace Injury Prevention focuses on understanding the principles of ergonomics and how to apply them to create a safer and more efficient workplace. Participants will learn about common workplace injuries,risk factors,and effective strategies to minimize these risks through ergonomic design. The course will cover assessment techniques,best practices for workstation setup,and the importance of promoting a culture of safety in the workplace. By the end of the course,attendees will be equipped with the knowledge and tools necessary to implement ergonomic solutions that enhance employee well-being and productivity.",,,,
Cybersecurity and Data Privacy,"This course on Cybersecurity and Data Privacy provides an in-depth understanding of the principles and practices necessary to protect sensitive information from unauthorized access and breaches. Participants will learn about the latest cybersecurity threats,data protection regulations,and strategies for mitigating risks. Through practical exercises and case studies,the course emphasizes the importance of safeguarding data in various environments and equips learners with the skills to implement effective security measures.",Bundle,04.00,,,,
Cybersecurity Awareness,"This course on Cybersecurity Awareness is designed to equip participants with essential knowledge and skills to recognize and respond to cybersecurity threats. The course covers key concepts such as identifying phishing attempts,understanding malware,and implementing best practices for online safety. Participants will engage in interactive discussions and practical exercises to enhance their awareness and preparedness against cyber threats.",Course,4.1,,,,,
Data Privacy Laws,"This course provides an in-depth exploration of data privacy laws,focusing on the legal frameworks that govern the collection,storage,and usage of personal data. Students will examine key legislation such as GDPR,CCPA,and other relevant regulations,,,,
Social Media and Cybersecurity Policy,"This course explores the intersection of social media and cybersecurity,focusing on the risks and challenges that arise from the use of social platforms. Students will learn about best practices for protecting personal and organizational data,understanding privacy settings,and recognizing potential threats in the digital landscape. Through case studies and practical applications,participants will develop strategies for enhancing security measures while engaging on social media.",Course,,,,
Human Resources and Professional Development,"This course on Human Resources and Professional Development is designed to equip participants with the essential knowledge and skills necessary for effective HR management and employee development. Participants will explore key concepts in recruitment,performance management,employee relations,and training methodologies. The course emphasizes practical applications and best practices to foster a productive work environment and support the professional growth of employees.",Bundle,05.00,,,,
