Topic,Description,Last Page,Last edited,Next Page
00 | CLIFF NOTES: Manual to Me - Cody's Guide (CQ),"- Manual to Me - Cody's Guide
- Core Identity: Neurodivergent, transgender person of color, various mental health disorders
- Communication Style: Needs processing time, prefers direct communication, uses silence
- Work Style: Async-first, visually structured, works in bursts, starts day after noon
- Support Needs: Clear communication, visual aids, gentle pacing, understanding of forgetfulness
- During Overwhelm: May withdraw, needs space, responds to offers to pause",Thank You for Taking This Journey (CQ) (Thank%20You%20for%20Taking%20This%20Journey%20(CQ)%20219f84a04402803d9b9ac063c0b10b57.csv),"June 26, 2025 10:54 PM",01 | Who I Am: Core Identity & Values (CQ) (01%20Who%20I%20Am%20Core%20Identity%20&%20Values%20(CQ)%20219f84a04402809eaffef9b41a56f5ae.csv)
03 | How I Relate: Communication & Boundaries (CQ),"- Communication style: systems, metaphors, intentions; not literal words.
- Silence indicates processing or peace preservation.
- Prefers questions over assumptions.
- Not afraid of conflict; avoids guilt trips and gaslighting.
- Feels safe when open, clear, and loyal.
- Importance of safe environments for neurodivergent individuals.","02 | How I Work: Focus, Flow, Boundaries (CQ) (02%20How%20I%20Work%20Focus,%20Flow,%20Boundaries%20(CQ)%20219f84a0440280578dc7da410f7b873f.csv)","June 21, 2025 12:20 PM",04 | How I Feel: Emotional Landscape (CQ) (04%20How%20I%20Feel%20Emotional%20Landscape%20(CQ)%20219f84a0440280db88bdc529ee2bb8dc.csv)
Thank You for Taking This Journey (CQ),"Gratitude for readers, emphasis on presence over perfection, importance of mutual understanding, guide as a living document, fostering compassionate relationships.",09 | Building Bridges: Mutual Understanding (CQ) (09%20Building%20Bridges%20Mutual%20Understanding%20(CQ)%20219f84a0440280c59737e7a0a8219dd1.csv),"June 21, 2025 3:56 AM",00 | CLIFF NOTES: Manual to Me - Cody's Guide (CQ) (00%20CLIFF%20NOTES%20Manual%20to%20Me%20-%20Cody's%20Guide%20(CQ)%20219f84a04402808b9caee35400ce3b9a.csv)
06 | How I Operate: Routines & Energy Management (CQ),"- Mornings start after noon due to Delayed Sleep Phase Syndrome and Sleep Inertia.
- Energy comes in bursts; work intensively for short periods followed by recovery.
- Welcomes constructive feedback delivered kindly and clearly.
- Prefers gentle, permission-based communication for feedback.
- Routines reflect neurodivergent needs and experiences as a transgender person with PTSD.",05 | How I Grow: Learning & Creativity (CQ) (05%20How%20I%20Grow%20Learning%20&%20Creativity%20(CQ)%20219f84a04402804eb7dfc8bc1e5d9122.csv),"June 21, 2025 12:20 PM",07 | How to Support Me: Needs & Triggers (CQ) (07%20How%20to%20Support%20Me%20Needs%20&%20Triggers%20(CQ)%20219f84a04402808e96dbfa60b488dbd5.csv)
07 | How to Support Me: Needs & Triggers (CQ),"Conditions: ADHD, PTSD, Depression, Anxiety, Phonophobia, Sleep Disorders.
Support: Clarity, calm tone, nonjudgmental check-ins, visual aids, task breakdowns, grace for forgetfulness.",06 | How I Operate: Routines & Energy Management (CQ) (06%20How%20I%20Operate%20Routines%20&%20Energy%20Management%20(CQ)%20219f84a04402806c819ac489e62beee2.csv),"June 21, 2025 12:20 PM","08 | When I Struggle: Overwhelm, Shutdown, Recovery (CQ) (08%20When%20I%20Struggle%20Overwhelm,%20Shutdown,%20Recovery%20(%20219f84a044028034b9c6df7011752058.csv)"
09 | Building Bridges: Mutual Understanding (CQ),"- Importance of upfront honesty and direct communication.
- Encouragement of curiosity and questions to foster understanding.
- Openness to correction and clarification.
- Emphasis on mutual understanding and collaborative growth.
- Consideration of intersecting identities and their impact on communication style.","08 | When I Struggle: Overwhelm, Shutdown, Recovery (CQ) (08%20When%20I%20Struggle%20Overwhelm,%20Shutdown,%20Recovery%20(%20219f84a044028034b9c6df7011752058.csv)","June 21, 2025 12:20 PM",Thank You for Taking This Journey (CQ) (Thank%20You%20for%20Taking%20This%20Journey%20(CQ)%20219f84a04402803d9b9ac063c0b10b57.csv)
01 | Who I Am: Core Identity & Values (CQ),"Cody's user manual for mutual understanding; identifies as transgender, neurodivergent; discusses ADHD, anxiety, PTSD, depression; values empathy, honesty, flexibility; prefers direct communication; manages energy and boundaries; focuses on growth and learning; emphasizes the importance of understanding and collaboration.",00 | CLIFF NOTES: Manual to Me - Cody's Guide (CQ) (00%20CLIFF%20NOTES%20Manual%20to%20Me%20-%20Cody's%20Guide%20(CQ)%20219f84a04402808b9caee35400ce3b9a.csv),"June 26, 2025 11:05 PM","02 | How I Work: Focus, Flow, Boundaries (CQ) (02%20How%20I%20Work%20Focus,%20Flow,%20Boundaries%20(CQ)%20219f84a0440280578dc7da410f7b873f.csv)"
"08 | When I Struggle: Overwhelm, Shutdown, Recovery (CQ)","- Signs of overwhelm: silence, confusion, forgetfulness, frustration, delays, disconnection.
- What doesn't help: guilt-tripping, pressure, surprises, emotional dumping.
- What helps: re-centering, space to decompress, flexible time-blocking.
- Context: responses influenced by intersecting identities (transgender, neurodivergent, ADHD, PTSD).",07 | How to Support Me: Needs & Triggers (CQ) (07%20How%20to%20Support%20Me%20Needs%20&%20Triggers%20(CQ)%20219f84a04402808e96dbfa60b488dbd5.csv),"June 21, 2025 12:20 PM",09 | Building Bridges: Mutual Understanding (CQ) (09%20Building%20Bridges%20Mutual%20Understanding%20(CQ)%20219f84a0440280c59737e7a0a8219dd1.csv)
04 | How I Feel: Emotional Landscape (CQ),"- Intense emotional waves often hidden to function.
- Trust in those who notice nuance over those demanding answers.
- Uses journaling, music, and solitude for self-regulation.
- Overwhelmed: may shut down, need reassurance without shame, gentle pacing helps return.
- Emotional processing linked to neurodivergence (ADHD, PTSD) and being transgender.
- Values nuanced understanding for safety and acceptance.
- Coping mechanisms developed for managing heightened emotions.
- Non-responsiveness during overwhelm is a protective response.
- Best supported with shame-free reassurance and gentle approaches.",03 | How I Relate: Communication & Boundaries (CQ) (03%20How%20I%20Relate%20Communication%20&%20Boundaries%20(CQ)%20219f84a044028013a32acde87e84e2d5.csv),"June 21, 2025 12:20 PM",05 | How I Grow: Learning & Creativity (CQ) (05%20How%20I%20Grow%20Learning%20&%20Creativity%20(CQ)%20219f84a04402804eb7dfc8bc1e5d9122.csv)
"02 | How I Work: Focus, Flow, Boundaries (CQ)","- Effective in async-first, visually structured environments
- Strengths: systems thinking, automation, creative problem solving, brand building
- Prefers trust and check-ins over micromanagement
- Needs visual dashboards, checklists, and flexibility
- Goals: build inclusive services, redefine productivity for neurodivergent minds, create adaptive tech",01 | Who I Am: Core Identity & Values (CQ) (01%20Who%20I%20Am%20Core%20Identity%20&%20Values%20(CQ)%20219f84a04402809eaffef9b41a56f5ae.csv),"June 21, 2025 12:19 PM",03 | How I Relate: Communication & Boundaries (CQ) (03%20How%20I%20Relate%20Communication%20&%20Boundaries%20(CQ)%20219f84a044028013a32acde87e84e2d5.csv)
