Name,Created time,Status,Archive,Area of Responsibility,Condition,Department,Status 1,Tags,Type,UUID
Pre-Appointment Inspection,"September 21,2025 9:07 AM",Not started,No,,Incomplete,,,,
Sales Rep Daily Requirements,"September 21,2025 9:07 AM",Not started,No,,Incomplete,,,,
I-485 SOP,"September 21,2025 9:15 AM",Not started,No,,Incomplete,,,,
Filing a Civil Case,"April 9,2025 2:18 AM",Not started,No,,Incomplete,,,,
✅ SOP: QuickBooks Cleanup & Tax Prep,"May 4,2025 8:45 PM",Not started,No,,Incomplete,Accounting,,,
📘 Standard Operating Procedure: Client Engagement Binder Workflow,"May 5,2025 12:46 AM",Not started,No,,Incomplete,Sales,,,
Filing a Civil Case,"April 9,,No,,Incomplete,2025 2:18 AM",Not started,,,
✅ SOP: QuickBooks Cleanup & Tax Prep,"May 4,Accounting,No,,Incomplete,2025 8:45 PM",Not started,,,
📘 Standard Operating Procedure: Client Engagement Binder Workflow,"May 5,Sales,No,,Incomplete,2025 12:46 AM",Not started,,,
Sales Rep Daily Requirements,"September 21,,No,,Incomplete,2025 9:07 AM",Not started,,,
Pre-Appointment Inspection,"September 21,,No,,Incomplete,2025 9:07 AM",Not started,,,
I-485 SOP,"September 21,,No,,Incomplete,2025 9:15 AM",Not started,,,
