Name,Category,Subject,Content,Tone,Placeholders
Welcome Email,other,Welcome to Working with {{company_name}}!,"Dear {{client_name}},,
Welcome aboard! I'm Cody,and I'm thrilled to have you as a client. I'm looking forward to working with you and achieving great results together.,,,,
Here's what you can expect next:,,,,,
• Initial consultation call scheduled for {{meeting_date}},,,,,
• Access to your client portal (details below),,,,,
• Project kickoff timeline,,,,,
Your Client Portal Access:,,,,,
URL: {{portal_url}},,,,,
Username: {{client_email}},,,,,
Password: {{temp_password}},,,,,
If you have any questions before our call,please don't hesitate to reach out.,,,,
Best regards,,,,,
Cody",friendly,"[""client_name"",""company_name"",""meeting_date"",""portal_url""
Project Update,project_update,{{project_name}} - Progress Update,"Dear {{client_name}},,
I hope this email finds you well. I wanted to provide you with an update on our progress with {{project_name}}.,,,,,
Current Status:,,,,,
• Completed: {{completed_tasks}},,,,,
• In Progress: {{in_progress_tasks}},,,,,
• Up Next: {{upcoming_tasks}},,,,,
Timeline:,,,,,
We are {{timeline_status}} with our projected timeline. {{timeline_details}},,,,,
Questions/Feedback:,,,,,
Is there anything specific you'd like us to focus on or adjust as we move forward?,,,,,
Looking forward to our next check-in on {{next_meeting_date}}.,,,,,
Cody",professional,"[""client_name"",""project_name"",""completed_tasks"",""in_progress_tasks""
Invoice Notification,invoice,Invoice {{invoice_number}} for {{project_name}},"Dear {{client_name}},,
I hope you're doing well. Please find attached Invoice #{{invoice_number}} for {{project_name}} in the amount of ${{invoice_amount}}.,,,,,
Invoice Details:,,,,,
• Invoice #: {{invoice_number}},,,,,
• Issue Date: {{issue_date}},,,,,
• Due Date: {{due_date}},,,,,
• Amount: ${{invoice_amount}},,,,,
Payment Options:,,,,,
• Credit Card: Through your client portal,,,,,
• Bank Transfer: Details in the invoice,,,,,
• Check: Please mail to our office address,,,,,
If you have any questions about this invoice,please don't hesitate to contact me.,,,,
Thank you for your business.,,,,,
Cody",professional,"[""client_name"",""invoice_number"",""project_name"",""invoice_amount""
Meeting Confirmation,meeting_request,Confirmation: Our Meeting on {{meeting_date}},"Dear {{client_name}},,
This is a quick note to confirm our meeting scheduled for:,,,,,
Date: {{meeting_date}},,,,,
Time: {{meeting_time}} {{timezone}},,,,,
Location: {{meeting_location}},,,,,
Agenda:,,,,,
