Appliance,Unit_Type,Text,Avg_kWh_per_Unit,Typical_Units_per_Day,Avg_Daily_kWh,Rate per kWh ($),Est. Daily Cost ($),Est. Monthly Cost ($),kWh per Use (Actual),Uses per Day (Actual),Est. Daily kWh (Actual),Usage % of Reference,Usage Band,Actual Costs
Refrigerator,Day,"The estimated wattage of the refrigerator is approximately 400 watts. It typically consumes around 4 kWh per day, which aligns with the average daily usage noted.",4,1,4,0.15,,,,,,0,🔵 Very Low,
Clothes Washer,Load,"The estimated wattage of the clothes washer is between 400 and 1400 watts. The typical daily usage is approximately 0.3 units per day, which translates to about 0.12 kWh daily.",0.4,0.3,0.12,,,,,,,0,🔵 Very Low,
Clothes Dryer,Load,"The estimated wattage of the clothes dryer is 3000 watts (3 kWh per load). The typical daily usage of the dryer is approximately 0.9 kWh, which translates to about 0.3 loads per day.",3,0.3,0.9,,,,,,,0,🔵 Very Low,
Dishwasher,Cycle,"The estimated wattage of the dishwasher is 1200 watts, based on the energy consumption of 1.2 kWh per cycle. The typical daily usage of the dishwasher is approximately 0.3 cycles per day, which results in an average daily energy consumption of 0.36 kWh.",1.2,0.3,0.36,,,,,,,0,🔵 Very Low,
Electric Oven,Hour,"The estimated wattage of the electric oven is approximately 2500 watts (2.5 kW). The typical daily usage of the item is about 0.3 units, resulting in an average daily consumption of 0.75 kWh.",2.5,0.3,0.75,,,,,,,0,🔵 Very Low,
Microwave,Minute15,The estimated wattage of the microwave is between 600 to 1000 watts. The typical daily usage of this appliance is approximately 15 minutes per day.,0.15,1,0.15,,,,,,,0,🔵 Very Low,
Coffee Maker,Brew,"The estimated wattage of the coffee maker is approximately 1000 W. It is typically used once per day, consuming about 0.12 kWh on average daily.",0.12,1,0.12,,,,,,,0,🔵 Very Low,
"LED TV (55"")",Hour,"The estimated wattage of the LED TV is 150 watts. The typical daily usage is approximately 4 hours, resulting in an average daily consumption of 0.6 kWh.",0.15,4,0.6,,,,,,,0,🔵 Very Low,
Game Console,Hour,"The estimated wattage of the game console is 200 watts, based on the average kWh per unit (0.2 kWh) multiplied by 1000.

Typically, the game console is used for about 0.4 kWh per day, which corresponds to an average daily usage of approximately 2 hours.",0.2,2,0.4,,,,,,,0,🔵 Very Low,
Desktop PC,Hour,"The estimated wattage of the desktop PC is 250 watts. The typical daily usage is approximately 5 hours, resulting in an average daily consumption of 1.25 kWh.",0.25,5,1.25,,,,,,,0,🔵 Very Low,
Laptop,Hour,"The estimated wattage of the laptop is 50 watts. The typical daily usage of the laptop is approximately 6 hours per day, resulting in an average daily kWh consumption of 0.3 kWh.",0.05,6,0.3,,,,,,,0,🔵 Very Low,
Window AC (8‑12k BTU),Hour,The estimated wattage of the Window AC unit is between 857 to 1000 watts per hour. The typical daily usage of this appliance is approximately 5.4 kWh.,0.9,6,5.4,,,,,,,0,🔵 Very Low,
Space Heater (1500 W),Hour,"The estimated wattage of the space heater is 1500 watts. The typical daily usage of the heater is approximately 6 kWh, which indicates it is used for about 4 hours per day at an average consumption of 1.5 kWh per hour.",1.5,4,6,,,,,,,0,🔵 Very Low,
Ceiling Fan,Hour,"The estimated wattage of the ceiling fan is 50 watts. The typical daily usage of the ceiling fan is approximately 8 hours per day, resulting in an average daily consumption of about 0.4 kWh.",0.05,8,0.4,,,,,,,0,🔵 Very Low,
LED Bulb (10 W),Hour,"The estimated wattage of the LED bulb is 10 watts. The typical daily usage of the item is approximately 6 hours, resulting in an average daily consumption of about 0.06 kWh.",0.01,6,0.06,,,,,,,0,🔵 Very Low,
Electric Water Heater,Day,"The estimated wattage of the electric water heater is 4,000 watts (4 kW). The typical daily usage of the item is approximately 4 kWh per day.",4,1,4,,,,,,,0,🔵 Very Low,
